feat,imp
ratio_click_of_province_in_creative_is_download,2
ratio_click_of_devtype_in_app_cate_id,2
ratio_click_of_orderid_in_creative_type,2
ratio_click_of_make_in_creative_is_download,2
ratio_click_of_advert_id_in_creative_height,2
ratio_click_of_osv_in_creative_is_download,2
ratio_click_of_creative_id_in_creative_is_download,2
ratio_click_of_model_in_creative_type,2
ratio_click_of_campaign_id_in_os,2
ratio_click_of_city_in_advert_industry_inner,2
ratio_click_of_creative_width_in_creative_height,2
ratio_click_of_f_channel,1
ratio_click_of_creative_has_deeplink_in_make,1
ratio_click_of_creative_tp_dnf_in_f_channel,1
ratio_click_of_f_channel_in_make,1
ratio_click_of_advert_name_in_nnt,1
ratio_click_of_model_in_advert_industry_inner,1
ratio_click_of_creative_height_in_creative_has_deeplink,1
carrier,1
creative_height,1
ratio_click_of_os_name_in_advert_id,1
ratio_click_of_model_in_advert_id,1
ratio_click_of_creative_width_in_advert_industry_inner,1
ratio_click_of_f_channel_in_advert_industry_inner,1
ratio_click_of_os_in_advert_industry_inner,1
ratio_click_of_adid_in_creative_is_download,1
ratio_click_of_advert_industry_inner_in_creative_is_download,1
ratio_click_of_hour_in_creative_has_deeplink,1
ratio_click_of_nnt,1
ratio_click_of_city_in_creative_has_deeplink,1
ratio_click_of_nnt_in_creative_has_deeplink,1
ratio_click_of_creative_id_in_os_name,1
ratio_click_of_creative_has_deeplink_in_province,1
ratio_click_of_hour_in_os_name,1
ratio_click_of_inner_slot_id_in_os_name,1
ratio_click_of_orderid_in_os_name,1
ratio_click_of_city_in_os_name,1
ratio_click_of_app_cate_id_in_os_name,1
ratio_click_of_creative_width_in_os_name,1
ratio_click_of_os_name_in_osv,1
ratio_click_of_creative_tp_dnf,1
ratio_click_of_devtype_in_province,1
ratio_click_of_os_name_in_advert_industry_inner,1
ratio_click_of_creative_has_deeplink_in_advert_industry_inner,1
ratio_click_of_creative_is_download_in_advert_industry_inner,1
ratio_click_of_creative_is_download_in_creative_height,1
ratio_click_of_app_id_in_f_channel,1
ratio_click_of_city_in_advert_name,1
ratio_click_of_inner_slot_id,1
ratio_click_of_advert_name_in_creative_height,1
ratio_click_of_creative_type_in_devtype,1
ratio_click_of_creative_height_in_os,1
ratio_click_of_f_channel_in_adid,1
ratio_click_of_advert_industry_inner_in_advert_id,1
ratio_click_of_f_channel_in_os,1
ratio_click_of_model_in_advert_name,1
ratio_click_of_creative_is_download_in_creative_type,1
ratio_click_of_creative_is_download_in_nnt,1
ratio_click_of_advert_industry_inner_in_creative_type,1
ratio_click_of_creative_height_in_carrier,1
ratio_click_of_advert_id_in_devtype,1
ratio_click_of_creative_width_in_carrier,1
ratio_click_of_advert_id_in_creative_type,1
ratio_click_of_advert_name_in_devtype,1
ratio_click_of_model_in_f_channel,1
ratio_click_of_os_in_creative_type,1
ratio_click_of_advert_industry_inner_in_os,1
ratio_click_of_orderid,1
ratio_click_of_make,1
ratio_click_of_creative_width_in_creative_type,1
ratio_click_of_app_cate_id_in_f_channel,1
ratio_click_of_province_in_devtype,1
ratio_click_of_adid,1
ratio_click_of_f_channel_in_creative_height,1
ratio_click_of_os_name_in_nnt,1
